day,market_cap_BTC,price_BTC,volume_BTC,market_cap_ETH,price_ETH,volume_ETH,market_cap_DOGE,price_DOGE,volume_DOGE,market_cap_XRP,price_XRP,volume_XRP,market_cap_ADA,price_ADA,volume_ADA,market_cap_SOL,price_SOL,volume_SOL,market_cap_TRX,price_TRX,volume_TRX,market_cap_DOT,price_DOT,volume_DOT,market_cap_LTC,price_LTC,volume_LTC,market_cap_AVAX,price_AVAX,volume_AVAX,fear_value,fear_classification
2021-03-19,1081065767945.8683,57922.40959262911,58387006275.72827,205022936620.98633,1780.1596459528505,29651777827.921936,7429523848.349583,0.0576435887153614,990194953.9514719,21683764043.52461,0.47236193099787394,3352407082.331825,39635535373.70477,1.2367141494244955,10308489296.444132,3818502582.108464,14.26867567597296,98337016.85098365,3841386172.2764583,0.053581872523311834,1323402632.013471,34684937913.02223,35.52301948450725,1130555670.2476017,13393000264.41136,200.8459412732784,4840230463.641326,4251465498.9323735,33.30822164005943,449721017.5106571,71,Greed
2021-03-20,1086741150606.8165,58243.27060892363,51948388930.75819,209188785173.5874,1817.1329628084297,27345983317.046707,7528469476.699196,0.05843947388318159,1081897762.402383,21486188493.978672,0.46873997633363473,2169639378.5943007,41583044699.256805,1.3019540528542999,7537246767.764254,3784530964.203633,14.182866696542028,86842533.95631836,4205777176.511496,0.0586322692747111,1918451831.8820417,37374066395.854706,38.21625368340663,1816822876.654633,13370408734.032444,200.94127221905256,3990450042.8130865,4841288250.690567,37.83962031914909,675328140.580694,75,Greed
2021-03-21,1090022321077.5006,58376.15847137206,54549112635.671715,209455699202.5177,1817.8601431294944,29495472699.399334,7634534867.583149,0.05915535148105883,1130635906.1182106,24299248758.427185,0.5275777913982836,5375557395.352597,38792953193.45229,1.20742530325912,4331034923.459506,3827195162.447837,14.275804030345455,86343402.39593284,4404127333.143486,0.0612374359288427,4096545982.0645423,36835725243.02955,37.504844437877956,1624244017.1843762,13364415001.053413,200.37440990838013,3952573108.536613,4421209366.283285,34.44023069216908,388516334.236906,73,Greed
2021-03-22,1074356788297.177,57573.539344778685,55664123837.602554,206013222508.0891,1790.3780747526928,29228757709.8678,7393832359.18554,0.05738217822000616,947849286.0632538,23912350892.242435,0.5188056655394946,4568448767.56636,38071795657.28376,1.1892303146494605,3952826743.0277476,3820743747.1802936,14.306229754951788,79484161.8717318,4496790311.039346,0.06283302525202726,2745171941.0414133,35952735874.87629,36.765101684857974,1282812882.4768355,13080246746.931717,195.88001611089337,4081062651.752628,4211026792.751812,32.92911576581013,371116648.021364,70,Greed
2021-03-23,1020641820438.662,54370.137557895185,62001716794.84347,195434685366.63266,1686.8911971580417,31376731220.175137,7186846705.617689,0.055586302434814695,895730939.6597222,25443377644.783222,0.5466715495213489,7756576662.830204,35708026844.135155,1.1068807388708692,4024094759.5586314,3996883816.28734,14.870337482227853,326592283.75572574,4324110290.312447,0.059734131596064784,2365964283.5974817,34774273754.16565,35.517977330046804,1238649934.2621312,12489121729.545944,187.15184134978873,4659085182.727243,3795055172.738754,29.510058230793643,373950442.0823653,66,Greed
2021-03-24,1017637245492.0177,54584.86994699455,60383378707.04851,192388701720.41965,1673.8591835627929,28758919428.479744,6929411775.529846,0.053766364866525335,995604160.683137,25328216010.82461,0.5539316085451409,6422561790.015287,36009559805.77391,1.127048197620845,4313834035.689378,3797038254.76521,14.194567786228824,133887151.90285721,4192817484.5414968,0.05884121781026774,2249943198.484188,33531597127.33813,34.28626821871331,1146831543.568595,12449308448.334675,186.59199183265446,4522463400.817968,3659646314.1554666,28.757556645820873,349232570.8752222,65,Greed
2021-03-25,982797427007.2565,52526.86659704657,73029051195.05199,183005042939.6772,1581.631055931366,38413713634.36278,6729987270.272253,0.05179852533280884,1043427664.3756895,22421022550.637875,0.48641604303514624,4542722141.91615,34095874084.32727,1.0614525089773315,3509101233.2573314,3673111725.425858,13.60393816401807,147906709.02353978,3998235094.435589,0.05548737937749144,2291795691.154855,30045752287.980137,30.570941813601564,1939572978.8947408,11920888477.360552,176.86385095035234,5172222519.735344,3345930074.9885716,26.053184110042988,338153949.62149525,60,Greed
2021-03-26,959155260366.7408,51416.908304980054,63401640502.561295,182810172113.94278,1587.2979641585232,26325124557.630264,6575327768.216504,0.051008121907801525,1229615850.9846416,23454220010.3365,0.5114260573573015,5235387294.759055,35106594429.1254,1.0970046944351481,5128067561.773247,3458196577.606995,12.964522758314372,143844943.83494917,3969212223.917802,0.05536927884394128,2023640197.6671999,29046963177.401062,29.710342331197918,2380374370.5190663,11454761058.00316,171.6507469257749,4795406029.772992,3267591871.3502626,25.768828212177734,330827514.10394925,54,Neutral
2021-03-27,1027209990794.8939,55033.100480447036,55442557956.15464,195511706252.9431,1700.3668693581185,24804294373.644676,6940289324.519491,0.05383361221420606,834542001.45623,26022913036.415676,0.5674371524314464,5591212650.382159,38738000195.67598,1.2125889914628833,5832300810.015615,3952457817.8285327,14.749054072098563,183730696.64450446,4651159604.35038,0.06497742846740698,3006344290.383141,32342912958.142776,33.12929964007773,1302279715.7344959,12203578088.595934,183.4496043791141,4369546760.922716,3594381859.9583316,28.15734922216305,230776170.83686236,65,Greed
2021-03-28,1042184275332.6417,55832.418109618324,47285749218.66506,197943394049.89084,1713.8378756834459,21118379279.876865,6962666597.6680355,0.05478730183777124,1017584672.3414593,25186564703.1959,0.5478679445266175,3443735178.039274,37797370711.05132,1.177853606059956,3239161162.132824,4447942286.041741,16.56643725364522,282806957.30753034,4581531841.022868,0.06379603980142541,2574076590.7998586,31949432348.545704,32.623518813998444,1081995006.209691,12309475803.593443,184.1248996189021,3903690753.32701,3550332621.3520665,27.67157136533701,169854417.50014177,74,Greed
